file_name, stable_rythm, unstable_rythm, stabilized_rythm, mean_ssim, mean_ssim_2, mean_psnr, mean_psnr_2, mean_distance, mean_distance_2
0stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4780.539695314016, 4711.129456895277
10stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4516.2527188522, 4121.170461536802
11stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4756.115283609215, 4741.4264697882045
12stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4554.965246727592, 4527.443662983239
13stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4132.003958019733, 4229.362307589595
14stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4775.512828845905, 4689.950681810031
15stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4463.785867327527, 4275.815621267328
16stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4816.511545955709, 4731.251432473372
17stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4307.121453331671, 4153.7756328267915
18stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4750.640793962148, 4508.4585799229935
19stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4770.557535583265, 4510.713513393041
1stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4706.004729138229, 4607.944488720898
20stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4802.4912055956365, 4500.722565808422
21stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4874.898557760166, 4677.041613467299
22stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4792.218225296036, 4497.776093532493
2stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4821.928560642439, 4617.248347420054
3stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4959.113022411335, 4043.1822221593875
4stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4532.211629311752, 3608.192934802668
5stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4730.496310446577, 4682.62821660034
6stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4528.011444472867, 4509.881145192559
7stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4873.204802226837, 4804.735315618115
8stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4330.157618374255, 3997.872068908447
9stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4618.360222815208, 4586.665732733924
