file_name, stable_rythm, unstable_rythm, stabilized_rythm, mean_ssim, mean_ssim_2, mean_psnr, mean_psnr_2, mean_distance, mean_distance_2
0stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4747.220533441261, 4711.129456895277
10stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4618.632107949841, 4121.170461536802
11stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4803.391858444498, 4741.4264697882045
12stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4683.693469617412, 4527.443662983239
13stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4528.777325139761, 4229.362307589595
14stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4818.045763977577, 4689.950681810031
15stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4368.574780074121, 4275.815621267328
16stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4793.848589078808, 4731.251432473372
17stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4343.31495535715, 4153.7756328267915
18stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4620.340319413459, 4508.4585799229935
19stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4685.516282966448, 4489.782592727159
1stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4732.722410210153, 4607.944488720898
20stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4765.262135052865, 4530.309120486586
21stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4764.919022933093, 4625.213456803433
22stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4720.476294166548, 4507.424857376393
2stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4600.87169346974, 4617.248347420054
3stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4579.546724270498, 4043.1822221593875
4stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4106.829819159069, 3608.192934802668
5stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4746.5489911256645, 4682.62821660034
6stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4568.535234449219, 4509.881145192559
7stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4807.407167121513, 4804.735315618115
8stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4300.159563850884, 3997.872068908447
9stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4722.712026942129, 4586.665732733924
