file_name, stable_rythm, unstable_rythm, stabilized_rythm, mean_ssim, mean_ssim_2, mean_psnr, mean_psnr_2, mean_distance, mean_distance_2
0stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4665.581439969043, 4711.129456895277
10stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4038.4365374380604, 4121.170461536802
11stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4641.432708467374, 4741.4264697882045
12stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4380.783407355024, 4527.443662983239
13stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4066.1255434256077, 4229.362307589595
14stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4551.876857544945, 4689.950681810031
15stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4177.290633854416, 4275.815621267328
16stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4683.038225389231, 4731.251432473372
17stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4073.5688161663847, 4162.4655400084375
18stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4400.938494897361, 4508.4585799229935
19stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4356.628407175886, 4489.782592727159
1stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4582.797279450488, 4607.944488720898
20stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4495.820094245977, 4530.309120486586
21stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4562.721295707729, 4625.213456803433
22stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4431.978393146172, 4507.424857376393
2stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4544.976431831613, 4617.248347420054
3stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 3890.3891144592358, 4043.1822221593875
4stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 3337.3938858125425, 3608.192934802668
5stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4648.695009988065, 4682.62821660034
6stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4458.037307119851, 4509.881145192559
7stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4784.8312539193375, 4804.735315618115
8stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 3770.0266572110168, 3997.872068908447
9stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4568.955846901411, 4586.665732733924
