file_name, stable_rythm, unstable_rythm, stabilized_rythm, mean_ssim, mean_ssim_2, mean_psnr, mean_psnr_2, mean_distance, mean_distance_2
0stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4836.179299594195, 4755.498273590892
10stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 3991.5292647689153, 4121.170461536802
11stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4558.880441599351, 4755.485752907395
12stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4163.383296015281, 4546.400935504163
13stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 3918.3740854754255, 4240.981837269045
14stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4505.937308785391, 4705.919745989777
15stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4088.6878142294163, 4294.747851195742
16stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4599.5340247810345, 4744.911905946935
17stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4610.809926310724, 4170.264892351137
18stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4079.385682635611, 4545.359594036148
19stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4261.427903814374, 4506.640975016547
1stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4389.3025142620145, 4631.836578994094
20stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4537.825410280715, 4544.594322444279
21stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4489.508791883895, 4640.548414342014
22stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4326.195585114815, 4519.036342522295
2stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4456.912916470199, 4637.570921980981
3stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 3531.0902290713334, 4042.706432318631
4stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 3222.6157599252797, 3650.4563104158765
5stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4614.832782249824, 4697.928170272005
6stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4346.250035737407, 4505.084171497185
7stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4782.812272194999, 4828.328164889441
8stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 3642.7221035726043, 4019.3925625862935
9stb, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 4471.788848772412, 4595.962789553407
